filename,state_name,state_id,district_name,district_id
DH_2011_2201_PART_B_DCHB_KORIYA.pdf,chhattisgarh,22,koriya,400
DH_2011_2110_PART_B_DCHB_KENDRAPARA.pdf,odisha,21,kendrapara,379
DH_2011_1601_PART_B_DCHB_WEST_TRIPURA.pdf,tripura,16,west tripura,289
DH_2011_2325_PART_B_DCHB_RAJGARH.pdf,madhya pradesh,23,rajgarh,442
DH_2011_2018_PART_B_DCHB_JAMTARA.pdf,jharkhand,20,jamtara,363
DH_2011_0207_PART_B_DCHB_UNA.pdf,himachal pradesh,02,una,029
DH_2011_0302_PART_B_DCHB_KAPURTHALA.pdf,punjab,03,kapurthala,036
DH_2011_1604_PART_B_DCHB_NORTH_TRIPURA.pdf,tripura,16,north tripura,292
DH_2011_0921_PART_B_DCHB_SHAHJAHANPUR.pdf,uttar pradesh,09,shahjahanpur,152
DH_2011_0811_PART_B_DCHB_DAUSA.pdf,rajasthan,08,dausa,109
DH_2011_2330_PART_B_DCHB_BETUL.pdf,madhya pradesh,23,betul,447
DH_2011_1507_PART_B_DCHB_LAWNGTLAI.pdf,mizoram,15,lawngtlai,287
DH_2011_1302_PART_B_DCHB_MOKOKCHUNG.pdf,nagaland,13,mokokchung,262
DH_2011_2413_PART_B_DCHB_AMRELI.pdf,gujarat,24,amreli,480
DH_2011_1824_PART_B_DCHB_NALBARI.pdf,assam,18,nalbari,323
DH_2011_2410_PART_B_DCHB_JAMNAGAR.pdf,gujarat,24,jamnagar,477
DH_2011_0962_PART_B_DCHB_BALLIA.pdf,uttar pradesh,09,ballia,193
DH_2011_1027_PART_B_DCHB_NALANDA.pdf,bihar,10,nalanda,229
DH_2011_3326_PART_B_DCHB_THOOTHUKKUDI.pdf,tamil nadu,33,thoothukkudi,627
DH_2011_0616_PART_B_DCHB_MAHENDERGARH.pdf,haryana,06,mahendragarh,084
DH_2011_2102_PART_B_DCHB_JHARSUGUDA.pdf,odisha,21,jharsuguda,371
DH_2011_0820_PART_B_DCHB_PALI.pdf,rajasthan,08,pali,118
DH_2011_0969_PART_B_DCHB_SONBHADRA.pdf,uttar pradesh,09,sonbhadra,200
DH_2011_1508_PART_B_DCHB_SAIHA.pdf,mizoram,15,saiha,288
DH_2011_2341_PART_B_DCHB_GUNA.pdf,madhya pradesh,23,guna,458
DH_2011_0104_PART_B_DCHB_KARGIL.pdf,jammu kashmir,01,kargil,004
DH_2011_2204_PART_B_DCHB_RAIGARH.pdf,chhattisgarh,22,raigarh,403
DH_2011_0827_PART_B_DCHB_BANSWARA.pdf,rajasthan,08,banswara,125
DH_2011_1919_PART_B_DCHB_PURBA_MEDINIPUR.pdf,west bengal,19,purba medinipur,345
DH_2011_0966_PART_B_DCHB_VARANASI.pdf,uttar pradesh,09,varanasi,197
DH_2011_0808_PART_B_DCHB_DHAULPUR.pdf,rajasthan,08,dhaulpur,106
DH_2011_2005_PART_B_DCHB_DEOGHAR.pdf,jharkhand,20,deoghar,350
DH_2011_0117_PART_B_DCHB_RAMBAN.pdf,jammu kashmir,01,ramban,017
DH_2011_0825_PART_B_DCHB_RAJSAMAND.pdf,rajasthan,08,rajsamand,123
DH_2011_3304_PART_B_DCHB_VELLORE.pdf,tamil nadu,33,vellore,605
DH_2011_1021_PART_B_DCHB_KHAGARIA.pdf,bihar,10,khagaria,223
DH_2011_2930_PART_B_DCHB_RAMANAGARA.pdf,karnataka,29,ramanagara,584
DH_2011_2722_PART_B_DCHB_MUMBAI_SUBURBAN.pdf,maharashtra,27,mumbai suburban,518
DH_2011_2423_PART_B_DCHB_NAVSARI.pdf,gujarat,24,navsari,490
DH_2011_0306_PART_B_DCHB_FATEHGARH_SAHIB.pdf,punjab,03,fatehgarh sahib,040
DH_2011_0122_PART_B_DCHB_SAMBA.pdf,jammu kashmir,01,samba,022
DH_2011_0314_PART_B_DCHB_PATIALA.pdf,punjab,03,patiala,048
DH_2011_2123_PART_B_DCHB_SUBARNAPUR.pdf,odisha,21,subarnapur,392
DH_2011_2723_PART_B_DCHB_MUMBAI.pdf,maharashtra,27,mumbai,519
DH_2011_1307_PART_B_DCHB_TUENSANG.pdf,nagaland,13,tuensang,267
DH_2011_0307_PART_B_DCHB_LUDHIANA.pdf,punjab,03,ludhiana,041
DH_2011_1034_PART_B_DCHB_GAYA.pdf,bihar,10,gaya,236
DH_2011_2718_PART_B_DCHB_JALNA.pdf,maharashtra,27,jalna,514
DH_2011_3331_PART_B_DCHB_COIMBATORE.pdf,tamil nadu,33,coimbatore,632
DH_2011_1811_PART_B_DCHB_DIBRUGARH.pdf,assam,18,dibrugarh,310
DH_2011_2408_PART_B_DCHB_SURENDRANAGAR.pdf,gujarat,24,surendranagar,475
DH_2011_0957_PART_B_DCHB_GORAKHPUR.pdf,uttar pradesh,09,gorakhpur,188
DH_2011_2411_PART_B_DCHB_PORBANDAR.pdf,gujarat,24,porbandar,478
DH_2011_1015_PART_B_DCHB_GOPALGANJ.pdf,bihar,10,gopalganj,217
DH_2011_0603_PART_B_DCHB_YAMUNANAGAR.pdf,haryana,06,yamunanagar,071
DH_2011_0112_PART_B_DCHB_PULWAMA.pdf,jammu kashmir,01,pulwama,012
DH_2011_2417_PART_B_DCHB_PANCH_MAHALS.pdf,gujarat,24,panch mahals,484
DH_2011_2329_PART_B_DCHB_RAISEN.pdf,madhya pradesh,23,raisen,446
DH_2011_2202_PART_B_DCHB_SURGUJA.pdf,chhattisgarh,22,surguja,401
DH_2011_1821_PART_B_DCHB_CHIRANG.pdf,assam,18,chirang,320
DH_2011_2711_PART_B_DCHB_GONDIYA.pdf,maharashtra,27,gondiya,507
DH_2011_2217_PART_B_DCHB_DAKSHIN_BASTAR_DANTEWADA.pdf,chhattisgarh,22,dakshin bastar dantewada,416
DH_2011_1204_PART_B_DCHB_PAPUM_PARE.pdf,arunachal pradesh,12,papum pare,248
DH_2011_1020_PART_B_DCHB_BEGUSARAI.pdf,bihar,10,begusarai,222
DH_2011_1603_PART_B_DCHB_DHALAI.pdf,tripura,16,dhalai,291
DH_2011_0922_PART_B_DCHB_KHERI.pdf,uttar pradesh,09,kheri,153
